epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.175,1.3248,2.44974,1.29643,0.79206,0.16085,0.44993,0.29313,1.14086,2.67174,1.04608,0.000469529,0.000469529,0.000469529
2,107.862,1.28948,1.56468,1.2604,0.8206,0.62916,0.69685,0.47527,1.27,1.45794,1.14646,0.000927134,0.000927134,0.000927134
3,160.233,1.28747,1.43899,1.29235,0.66333,0.5407,0.64989,0.41703,1.3679,2.06271,1.17659,0.00136588,0.00136588,0.00136588
4,212.508,1.28256,1.38262,1.26956,0.75938,0.64868,0.67758,0.49889,1.18839,1.25726,1.12608,0.00134412,0.00134412,0.00134412
5,267.303,1.23886,1.28874,1.25191,0.81323,0.8136,0.79237,0.5524,1.24543,0.98473,1.10582,0.00131582,0.00131582,0.00131582
6,328.228,1.27412,1.23607,1.25866,0.84037,0.67713,0.77745,0.57662,1.16531,1.14821,1.13576,0.00128753,0.00128753,0.00128753
7,382.513,1.25467,1.13696,1.26351,0.7964,0.77677,0.74384,0.54226,1.14454,1.00392,1.10423,0.00125923,0.00125923,0.00125923
8,436.312,1.24218,1.11031,1.24043,0.79466,0.82038,0.73614,0.34418,1.6955,1.09957,1.29915,0.00123094,0.00123094,0.00123094
9,489.365,1.23787,1.05588,1.2431,0.7829,0.80707,0.74741,0.50794,1.23376,0.97081,1.13855,0.00120265,0.00120265,0.00120265
10,542.594,1.18605,1.01002,1.21636,0.89031,0.80843,0.80757,0.51744,1.23683,1.13343,1.14931,0.00117435,0.00117435,0.00117435
11,595.504,1.14118,0.93602,1.18597,0.92195,0.7853,0.81798,0.58131,1.15332,0.77073,1.09415,0.00114606,0.00114606,0.00114606
12,647.674,1.14249,0.94064,1.20163,0.77645,0.80219,0.71887,0.49631,1.15329,0.92463,1.11068,0.00111776,0.00111776,0.00111776
13,701.666,1.13446,0.90593,1.18655,0.75369,0.81777,0.70093,0.49373,1.15029,0.8745,1.0912,0.00108947,0.00108947,0.00108947
14,756.435,1.14572,0.91392,1.20447,0.83109,0.79477,0.8134,0.5343,1.25532,0.80862,1.11891,0.00106118,0.00106118,0.00106118
15,809.672,1.11476,0.87726,1.17819,0.80422,0.80707,0.76476,0.54812,1.1084,0.82759,1.09918,0.00103288,0.00103288,0.00103288
16,863.017,1.12358,0.84379,1.19029,0.83043,0.76201,0.81658,0.60043,1.09717,0.77554,1.08313,0.00100459,0.00100459,0.00100459
17,916.477,1.06205,0.82193,1.14931,0.78573,0.82222,0.76246,0.55257,1.08661,0.71579,1.05983,0.000976293,0.000976293,0.000976293
18,970.026,1.07621,0.78346,1.1544,0.86152,0.7988,0.7878,0.59773,1.06834,0.68764,1.05284,0.000947999,0.000947999,0.000947999
19,1024.05,1.06924,0.77741,1.1435,0.80344,0.82222,0.76355,0.52558,1.18758,0.7012,1.08537,0.000919704,0.000919704,0.000919704
20,1077.41,1.08234,0.78491,1.15104,0.89111,0.82054,0.80838,0.58389,1.17555,0.64779,1.06537,0.00089141,0.00089141,0.00089141
21,1130.5,1.05595,0.75526,1.13263,0.80449,0.82222,0.76851,0.54503,1.13118,0.72903,1.06705,0.000863116,0.000863116,0.000863116
22,1183.9,1.03459,0.73993,1.13317,0.79446,0.82222,0.7661,0.56977,1.11053,0.73202,1.06262,0.000834822,0.000834822,0.000834822
23,1237.16,1.0234,0.73077,1.12667,0.79726,0.81512,0.81147,0.62043,1.06352,0.67128,1.05037,0.000806528,0.000806528,0.000806528
24,1290.7,1.02283,0.69377,1.12377,0.8135,0.81415,0.78995,0.58466,1.10377,0.67785,1.06642,0.000778233,0.000778233,0.000778233
25,1343.88,1.05034,0.71289,1.13259,0.81054,0.82222,0.8087,0.63109,1.07348,0.6541,1.06826,0.000749939,0.000749939,0.000749939
26,1397.3,1.00741,0.67986,1.10517,0.81562,0.81632,0.76743,0.57932,1.05775,0.66198,1.04375,0.000721645,0.000721645,0.000721645
27,1451.5,1.02058,0.67302,1.10838,0.8612,0.81308,0.81294,0.61592,1.06481,0.59026,1.0385,0.000693351,0.000693351,0.000693351
28,1505.36,0.9727,0.68042,1.10781,0.82227,0.80855,0.73849,0.5738,0.98072,0.61147,1.01147,0.000665057,0.000665057,0.000665057
29,1558.71,0.97303,0.68064,1.10317,0.84204,0.82222,0.79908,0.60966,1.0912,0.63276,1.08067,0.000636762,0.000636762,0.000636762
30,1612.05,0.95205,0.65269,1.09538,0.84374,0.80707,0.74833,0.57862,1.06251,0.68849,1.06877,0.000608468,0.000608468,0.000608468
31,1665.46,0.96431,0.65899,1.10714,0.83724,0.80707,0.78756,0.60783,1.04731,0.65223,1.05856,0.000580174,0.000580174,0.000580174
32,1718.92,0.93437,0.61831,1.07718,0.81167,0.82222,0.76582,0.5744,1.05957,0.65631,1.06991,0.00055188,0.00055188,0.00055188
33,1773.5,0.99049,0.6721,1.12277,0.87911,0.81164,0.82362,0.61491,1.06339,0.59882,1.0501,0.000523586,0.000523586,0.000523586
34,1827.41,0.93532,0.63855,1.08915,0.81474,0.82222,0.73024,0.55559,1.05739,0.62779,1.04612,0.000495291,0.000495291,0.000495291
35,1881.11,0.91466,0.61142,1.07272,0.80375,0.82222,0.74921,0.57597,1.04535,0.61934,1.03796,0.000466997,0.000466997,0.000466997
